rate_genome,size_genome,name,classification,,sampling_time,reference
5.68E-08,4411529,M. tuberculosis Lineage 4,bacteria,,13.17,Duchene et al. (2016)
7.60E-08,4073403,S. Paratyphi A (two clades),bacteria,,84,Duchene et al. (2016)
8.02E-08,4073403,S. Paratyphi A (clade 1),bacteria,8.36E-08,60,Duchene et al. (2016)
9.47E-08,4073403,S. Paratyphi A (clade 2),bacteria,1.25E-07,58,Duchene et al. (2016)
1.73E-07,4090000,B. pertussis,bacteria,,63,Duchene et al. (2016)
1.78E-07,4517200,S. Typhi H58,bacteria,,21,Duchene et al. (2016)
2.20E-07,1965903,S. pneumoniae PMEN1,bacteria,,24,Duchene et al. (2016)
3.36E-07,6402658,P. aeruginosa,bacteria,,35,Duchene et al. (2016)
3.95E-07,4270000,S. Agona,bacteria,,38,Duchene et al. (2016)
5.35E-07,3588453,S. Kentucky,bacteria,,77,Duchene et al. (2016)
5.56E-07,2600000,S. aureus ST93,bacteria,,17,Duchene et al. (2016)
2.56E-07,4487476,K. pneumoniae CC258 (clade 1),bacteria,,7,Duchene et al. (2016)
1.01E-06,3750125,S. dysenteriae Sd1,bacteria,,96,Duchene et al. (2016)
8.19E-07,5055316,S. sonnei VN,bacteria,,15,Duchene et al. (2016)
9.60E-07,4020650,V. cholerae,bacteria,,73,Duchene et al. (2016)
9.71E-07,3043210,S. aureus ST239 (ingroup),bacteria,,32,Duchene et al. (2016)
9.92E-07,3043210,S. aureus ST239 (all),bacteria,,32,Duchene et al. (2016)
1.23E-06,1609810,S. pyogenes (two clades),bacteria,,16,Duchene et al. (2016)
1.29E-06,1609810,S. pyogenes (clade 2),bacteria,,7,Duchene et al. (2016)
1.34E-06,1609810,S. pyogenes (clade 1),bacteria,,16,Duchene et al. (2016)
1.68E-06,3955646,A. baumannii GC1,bacteria,,29,Duchene et al. (2016)
2.01E-06,2154246,S. aureus ST22,bacteria,,18.72,Duchene et al. (2016)
3.76E-06,1400000,E. faecium (clade1),bacteria,,18,Duchene et al. (2016)
3.15E-06,3927121,A. baumannii GC2,bacteria,,7.41,Duchene et al. (2016)
2.43E-06,2744780,S. aureus CC398,bacteria,,9.57,Duchene et al. (2016)
5.39E-08,4751620,M. tuberculosis (NW mummies) ,bacteria,,895,Duchene et al. (2016)
1.15E-03,1768,Porcine cicrovirus 2,ssDNA,1.40E-03,9,Sanjuan (2012)
1.64E-03,1768,Porcine cicrovirus 2,ssDNA,,25,Sanjuan (2012)
1.60E-03,5503,African cassava mosaic virus,ssDNA,1.60E-03,7,Sanjuan (2012)
1.33E-04,5503,African cassava mosaic virus,ssDNA,,7,Sanjuan (2012)
3.87E-04,2690,Maize sreak virus,ssDNA,,29,Sanjuan (2012)
4.04E-04,2781,Tomato yello leaf curl virus,ssDNA,,18,Sanjuan (2012)
1.43E-04,6396,Banana bunchy top virus,ssDNA,,16,Sanjuan (2012)
1.70E-04,5323,Cannine parvovirus,ssDNA,1.25E-04,26,Sanjuan (2012)
7.90E-05,5323,Cannine parvovirus,ssDNA,,26,Sanjuan (2012)
9.40E-05,5323,Feline panleukopenia virus,ssDNA,8.65E-05,34,Sanjuan (2012)
7.90E-05,5323,Feline panleukopenia virus,ssDNA,,28,Sanjuan (2012)
1.14E-04,5594,Human parvovirus B19,ssDNA,1.62E-04,28,Sanjuan (2012)
1.83E-04,5594,Human parvovirus B19,ssDNA,,28,Sanjuan (2012)
1.20E-04,5594,Human parvovirus B19,ssDNA,,14,Sanjuan (2012)
2.30E-04,5594,Human parvovirus B19,ssDNA,,14,Sanjuan (2012)
1.39E-04,3909,Infectious hypodermal and hematopoietic necrosis virus,ssDNA,,21,Sanjuan (2012)
3.02E-04,5075,Porcine parvovirus,ssDNA,2.53E-04,33,Sanjuan (2012)
4.04E-04,5075,Porcine parvovirus,ssDNA,,33,Sanjuan (2012)
5.39E-05,5075,Porcine parvovirus,ssDNA,,33,Sanjuan (2012)
7.20E-05,35343,Human adenovirus B,dsDNA,,24,Sanjuan (2012)
3.46E-05,35937,Human adenovirus C,dsDNA,,21,Sanjuan (2012)
8.21E-05,152261,Herpes simplex virus 1,dsDNA,,27,Sanjuan (2012)
6.26E-06,124884,Varicella zoster virus,dsDNA,,37,Sanjuan (2012)
3.94E-03,7905,Human papillomavirus 16,dsDNA,,3,Sanjuan (2012)
4.34E-05,5153,BK polyomavirus,dsDNA,,29,Sanjuan (2012)
1.70E-05,5130,JC polyomavirus,dsDNA,,33,Sanjuan (2012)
7.00E-07,196858,Monkeypox virus,dsDNA,,26,Sanjuan (2012)
9.32E-06,185578,Variola virus,dsDNA,,31,Sanjuan (2012)
